DATAFLOW,LAST UPDATE,freq,unit,icha11_hf,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF1,IS,2019,2532.62,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF1,IT,2019,1864.89,b
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF1,LT,2019,1261.16,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF1,LU,2019,3237.55,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF1,LV,2019,862.65,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF1,MT,2019,1839.41,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF1,NL,2019,3304.44,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF1,NO,2019,3932.29,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF1,PL,2019,1134.99,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF1,PT,2019,1389.48,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF1,RO,2019,1050.92,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF1,SE,2019,3260.48,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF1,SI,2019,1661.11,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF1,SK,2019,1195.68,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF1,UK,2019,2464.77,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,AT,2019,710.47,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,BE,2019,760.37,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,BG,2019,480.73,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,CH,2019,1243.82,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,CY,2019,667.03,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,CZ,2019,326.65,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,DE,2019,606.62,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,DK,2019,523.72,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,EE,2019,415.72,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,EL,2019,559.92,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,ES,2019,543.07,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,FI,2019,541.04,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,FR,2019,346.26,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,HR,2019,158.94,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,HU,2019,411.94,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,IE,2019,414.45,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,IS,2019,475.51,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,IT,2019,593.28,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,LT,2019,613.08,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,LU,2019,365.36,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,LV,2019,503.69,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,MT,2019,1004.33,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,NL,2019,422.37,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,NO,2019,638.53,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,PL,2019,317.69,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,PT,2019,698.91,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,RO,2019,246.61,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,SE,2019,525.26,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,SI,2019,266.14,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,SK,2019,287.10,
ESTAT:HLTH_SHA11_HF(1.0),26/07/23 23:00:00,A,PPS_HAB,HF3,UK,2019,498.28,
